Customer,BIN,ProductID,CardStockID,TagProductID,DPProfileName,MachineProductName,ShipMethod_STDMAIL,ShipMethod_TRACKMAIL,ShipMethod_EXPRESS2DA,ShipMethod_EXPRESSOVE,ServiceType,PackageType,WeightOz,ShipDate,FromFullName,FromAddress1,FromAddress2,FromCity,FromState,FromCountry,FromZIPCode,IntFromFacility,BulkCompany,BulkFullName,BulkAddress1,BulkAddress2,BulkCity,BulkState,BulkCountry,BulkZIPCode,FEDEXAccount,FEDEXPhoneNumber,BulkShipMethod_STDMAIL,BulkShipMethod_TRACKMAIL,BulkShipMethod_EXPRESS2DA,BulkShipMethod_EXPRESSOVE,
QOLO,553732,1000,,CR_CT,P_QOLO_MC_35_61_SECORA_S_V01_v143,P_QOLO_MC_35_61_SECORA_S_CT,USPS,USPS_TR,FEDx_OR,FEDx_SON,,,1,+1,,80 Corbett Way,,Eatontown,NJ,US,07724,TAGUS,,,,,,,,,,,BULK_USPS,BULK_USPS_TR,BULK_FEDx,BULK_FEDx_SON,
QOLO,553732,1001,,DB_DI,P_QOLO_MC_35_61_95_98_ST_TOPAZ_122_V01_v143,P_QOLO_MC_35_61_95_98_ST_TOPAZ_122_DI,USPS,USPS_TR,FEDx_OR,FEDx_SON,,,1,+1,,80 Corbett Way,,Eatontown,NJ,US,07724,TAGUS,,,,,,,,,,,BULK_USPS,BULK_USPS_TR,BULK_FEDx,BULK_FEDx_SON,
QOLO,523599,1000,,CR_CT,P_QOLO_MC_35_61_SECORA_S_V01_v143,P_QOLO_MC_35_61_SECORA_S_CT,USPS,USPS_TR,FEDx_OR,FEDx_SON,,,1,+1,,80 Corbett Way,,Eatontown,NJ,US,07724,TAGUS,,,,,,,,,,,BULK_USPS,BULK_USPS_TR,BULK_FEDx,BULK_FEDx_SON,
QOLO,523599,1001,,DB_DI,P_QOLO_MC_35_61_95_98_ST_TOPAZ_122_V01_v143,P_QOLO_MC_35_61_95_98_ST_TOPAZ_122_DI,USPS,USPS_TR,FEDx_OR,FEDx_SON,,,1,+1,,80 Corbett Way,,Eatontown,NJ,US,07724,TAGUS,,,,,,,,,,,BULK_USPS,BULK_USPS_TR,BULK_FEDx,BULK_FEDx_SON,
QOLO,542143,1000,,CR_CT,P_QOLO_MC_35_61_SECORA_S_V01_v143,P_QOLO_MC_35_61_SECORA_S_CT,USPS,USPS_TR,FEDx_OR,FEDx_SON,,,1,+1,,80 Corbett Way,,Eatontown,NJ,US,07724,TAGUS,,,,,,,,,,,BULK_USPS,BULK_USPS_TR,BULK_FEDx,BULK_FEDx_SON,
QOLO,542143,1001,,DB_DI,P_QOLO_MC_35_61_95_98_ST_TOPAZ_122_V01_v143,P_QOLO_MC_35_61_95_98_ST_TOPAZ_122_DI,USPS,USPS_TR,FEDx_OR,FEDx_SON,,,1,+1,,80 Corbett Way,,Eatontown,NJ,US,07724,TAGUS,,,,,,,,,,,BULK_USPS,BULK_USPS_TR,BULK_UPS,BULK_FEDx_SON,
LEVEL,445279,0001,,,P_LEVEL_VISA_C3_ST_TOPAZ_13_V01_v144,LEVEL_VISA_C3_ST_TOPAZ_13,USPS,USPS_TR,FEDx_OR,FEDx_SON,,,1,+1,,80 Corbett Way,,Eatontown,NJ,US,07724,TAGUS,,,,,,,,,,,BULK_USPS,BULK_USPS_TR,BULK_FEDx,BULK_FEDx_SON,
LEVEL,420481,0001,,,P_LEVEL_VISA_C3_ST_TOPAZ_13_V01_v144,LEVEL_VISA_C3_ST_TOPAZ_13,USPS,USPS_TR,FEDx_OR,FEDx_SON,,,1,+1,,80 Corbett Way,,Eatontown,NJ,US,07724,TAGUS,,,,,,,,,,,BULK_USPS,BULK_USPS_TR,BULK_FEDx,BULK_FEDx_SON,
