DataField,Flag,Usage,LITHIC,QRAILS,GPS,GALILEO,GALILEO-MESH,GALILEO-POME,GALILEO-FLEX,GALILEO-STANDARD-BULK,HIGHNOTE,QOLO,MARQETA,DC_BANK
#YOUR CUSTOM DATA GIVE FLAG RECEIVED AND INFORMATION WHAT COLUMN,,,,,,,,,,,,,,NA
#PREDEFINED DATA DO NOT CHANGE DATAFIELD NAME,,,,,,,,,,,,NA,,NA
#Status,Calculated,"Conf_Report,Ship_Report","NOK, OK","NOK, OK",,,,,,,"NOK, OK",NA,,NA
#Reference2,Calculated,Mail-USPS-FEDEX-MAILMERGE,PANHashed_SHA256,PANHashed_SHA256,,PANHashed_SHA256,PANHashed_SHA256,PANHashed_SHA256,PANHashed_SHA256,PANHashed_SHA256,PANHashed_SHA256,NA,,NA
#CardType,Calculated,"Conf_Report,Ship_Report","Product_ID,Col_50","Product_ID,Col_50",,,,,,,"Product_ID,Col_50",NA,,NA
#Reference4,Calculated,"Mail-USPS-FEDEX-MAILMERGE,Conf_Report,Ship_Report",RFU,RFU,,,,,,,RFU,NA,,NA
#Reference1,Calculated,Mail-USPS-FEDEX-MAILMERGE,Sequence_Number_per_shipping_group-3_of_Customer_Name-3_of_ProductID-Last4ofPAN,Sequence_Number_per_shipping_group-3_of_Customer_Name-3_of_ProductID-Last4ofPAN,,,,,,,Sequence_Number_per_shipping_group-3_of_Customer_Name-3_of_ProductID-Last4ofPAN,NA,,NA
#FileDate,Calculated,"Conf_Report,Ship_Report",The original data of file when dropped on SFTP,The original data of file when dropped on SFTP,,,,,,,The original data of file when dropped on SFTP,NA,,NA
#DataMatching,Calculated,Mail-MAILMERGE,Track2Masked,Track2Masked,,,,,,,Track2Masked,NA,,NA
#NumberOfRecordsInFile,Calculated,"DataPrep, Mail-USPS-FEDEX-MAILMERGE-BULK,Conf_Report,Ship_Report,Errors",Calculated,Calculated,,,,,,,Calculated,NA,,NA
#NumberOfGoodRecordsInFile,Calculated,,,,,,,   ,,,,NA,,NA
#NumberOfBadRecordsInFile,Calculated,,,,,,,  ,,,,NA,,NA
#NumberOfRecordsTAGUS,Calculated,,,,,,, ,,,,NA,,NA
#NumberOfRecordsTAGPL,Calculated,,,,,,,   ,,,,NA,,NA
#NoErrorRecs,Calculated,,,,,,,   ,,,,NA,,NA
#Processor,Calculated,,,,,,,   ,,,,NA,,NA
#HasError ,Calculated,,,,,,,      ,,,,NA,,NA
#NoOfCardsPerGroup,Calculated,"DataPrep, Mail-USPS-FEDEX-MAILMERGE-BULK,Conf_Report,Ship_Report,Errors",Calculated,Calculated,,,,,,,Calculated,NA,,NA
#ErrorMessage,Calculated,,,,,,,   ,,,,NA,,NA
#ErrorCode,Calculated,"Conf_Report,Ship_Report",Per Validation,Per Validation,,,,,,,Per Validation,NA,,NA
#ErrorDescription,Calculated,"Conf_Report,Ship_Report",Error Description,Error Description,,,,,,,Error Description,NA,,NA
#ShippingServiceType,Calculated,,,,,,,   ,,,,NA,,NA
#ShippingServiceName,Calculated,,,,,,,   ,,,,NA,,NA
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,,"DataPrep, Mail-USPS-FEDEX-MAILMERGE-BULK,Conf_Report,Ship_Report,Errors",Calculated,Calculated,,,,,,,Calculated,,,
