Customer,BIN,ProductID,CardStockID,TagProductID,DPProfileName,MachineProductName,ShipMethod_1,ShipMethod_2,ShipMethod_3,ShipMethod_4,ShipMethod_5,ShipMethod_6,ServiceType,PackageType,WeightOz,ShipDate,FromFullName,FromAddress1,FromAddress2,FromCity,FromState,FromCountry,FromZIPCode,IntFromFacility,BulkCompany,BulkFullName,BulkAddress1,BulkAddress2,BulkCity,BulkState,BulkCountry,BulkZIPCode,FEDEXAccount,FEDEXPhoneNumber,BulkShipMethod_1,BulkShipMethod_2,BulkShipMethod_3,BulkShipMethod_4
TILLFUL,511938,tillful-metal-01,,MT,P_TILLFUL_MC_34_94_ST_TOPAZ_12_V01_v143,TILLFUL_MC_34_94_ST_TOPAZ_12,USPS,USPS_TR,USPS_PM,FEDx_SON,FEDx_OR,FEDx_INT,,,,,,80 Corbett Way,,Eatontown,NJ,US,07724,TAGUS,,,,,,,,,,,BULK_USPS,BULK_USPS_PM,BULK_FEDx_SON,BULK_FEDx_INT
CHESNUT,520929,chestnut-debit-01,,DB,T_CHESTNUT_MC_35_61_94_98_ST_TOPAZ_12_V01_v143,CHESTNUT_MC_35_61_94_98_ST_TOPAZ_12,USPS,USPS_TR,USPS_PM,FEDx_SON,FEDx_OR,FEDx_INT,,,,,,80 Corbett Way,,Eatontown,NJ,US,07724,TAGUS,,,,,,,,,,,BULK_USPS,BULK_USPS_PM,BULK_FEDx_SON,BULK_FEDx_INT
VFLEET,48075300,highnote-fleet-01,,FLT,XXXXXXXX,XXXXXXXXXXXXX,USPS,USPS_TR,USPS_PM,FEDx_SON,FEDx_OR,FEDx_INT,,,,,,80 Corbett Way,,Eatontown,NJ,US,07724,TAGUS,,,,,,,,,,,BULK_USPS,BULK_USPS_PM,BULK_FEDx_SON,BULK_FEDx_INT
